smiles1,smiles2,label
[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O.[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
C=CCSS(=O)CC=C,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,C=CCSS(=O)CC=C,0
[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O.[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,CC1CCC2C(C)C(OC3OC4(C)CCC1C23OO4)OC(=O)CCC(O)=O,0
NC(=O)C1=CC=C(N)N=C1,OC1=CC(=CC(=C1OC2=CC(=C(C=C2C(=O)O)O)O)O)O,0
CC1CCC2C(C)C(OC3OC4(C)CCC1C23OO4)OC(=O)CCC(O)=O,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,CC1=CC(=C(C=C1)C(C)C)O,0
C=CCSS(=O)CC=C,NC(=O)C1=CC=C(N)N=C1,0
CC1CCC2C(C)C(OC3OC4(C)CCC1C23OO4)OC(=O)CCC(O)=O,CCC(C)C1OC2(CCC1C)CC3CC(C\C=C(C)\C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)\C=C\C=C\6COC7C(O)C(=CC(C(=O)O3)C67O)C)O2,0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,C=CCSS(=O)CC=C,0
FC1=CNC(=O)NC1=O,CCC(C)C1OC2(CCC1C)CC3CC(C\C=C(C)\C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)\C=C\C=C\6COC7C(O)C(=CC(C(=O)O3)C67O)C)O2,0
[Na+].[O-][As]=O,C=CCSS(=O)CC=C,0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,FC1=CNC(=O)NC1=O,0
CN1C2=C(C=CC(=C2)OC)C(=O)C3=C(C1=O)C=CC(=C3)OC,FC1=CNC(=O)NC1=O,0
OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,[Na+].[O-][As]=O,0
CC1CCC2C(C)C(OC3OC4(C)CCC1C23OO4)OC(=O)CCC(O)=O,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,0
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,OC1=CC(=CC(=C1OC2=CC(=C(C=C2C(=O)O)O)O)O)O,0
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O.[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,[Na+].[O-][As]=O,0
CN1C2=C(C=CC(=C2)OC)C(=O)C3=C(C1=O)C=CC(=C3)OC,[Na+].[O-][As]=O,0
OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O.[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,0
COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,OC1=CC(=CC(=C1OC2=CC(=C(C=C2C(=O)O)O)O)O)O,0
C=CCSS(=O)CC=C,CC1=CC(=C(C=C1)C(C)C)O,0
CN1C2=C(C=CC(=C2)OC)C(=O)C3=C(C1=O)C=CC(=C3)OC,OC1=CC(=CC(=C1OC2=CC(=C(C=C2C(=O)O)O)O)O)O,0
CN(C)C(=N)NC(=N)N,FC1=CNC(=O)NC1=O,0
[Na+].[O-][As]=O,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O.[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,0
CN(C)C(=N)NC(=N)N,CC1=CC(=C(C=C1)C(C)C)O,0
